country,med_age_all,med_age_male,med_age_female,ed_index_2015,mean_years_school_2015,hdi_rank,continent,gdp_growth_1990_2015,gni_ppp_cap_usd,inequality,pop_growth_2015_20,per_urban,population
Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340
Tonga,23,22.5,23.4,0.766,11.1,101,Oceania,4.1,6510,NA,0.86,23.1,110940
Trinidad and Tobago,36,35.6,36.6,0.717,10.9,65,North America,6.4,32060,40.3,0.26,53.2,1394973
Tunisia,31.6,31,32.2,0.643,7.1,97,Africa,4.8,12060,35.8,1.09,68.9,11694719
Turkey,30.9,30.5,31.4,0.668,7.9,71,Europe,5.9,28380,41.9,1.37,75.1,83429615
Turkmenistan,27.9,27.5,28.4,0.629,9.9,111,Asia,10.3,18460,43.2,1.61,51.6,5942089
Turks and Caicos Islands,33.3,33.6,33,NA,NA,NA,NA,NA,24540,NA,NA,93.1,38191
Tuvalu,25.7,24.7,26.9,NA,NA,NA,NA,NA,6090,NA,0.88,62.4,11646
U.S. Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7,NA
Uganda,15.8,15.7,15.9,0.467,5.7,163,Africa,5.8,1970,42.8,3.23,23.8,44269594
Ukraine,40.6,37.4,43.7,0.803,11.3,84,Europe,0,9020,25.5,-0.49,69.4,43993638
United Arab Emirates,30.3,32.1,25,0.687,9.5,42,Asia,8.3,75300,NA,1.39,86.5,9770529
United Kingdom,40.5,39.3,41.7,0.896,13.3,16,Europe,3.6,45660,34.1,0.58,83.4,67530172
United States,38.1,36.8,39.4,0.9,13.2,10,North America,4.6,63390,41.5,0.71,82.3,329064917
United States Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104578
Uruguay,35,33.1,36.7,0.717,8.6,54,South America,6.8,21900,39.7,0.36,95.3,3461734
Uzbekistan,28.6,28,29.2,0.74,12,105,Asia,6.2,7230,36.7,1.41,50.5,32981716
Vanuatu,22,21.6,22.4,0.526,6.8,134,Oceania,6.3,3160,NA,2.1,25.3,299882
Vatican City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,100,799
Venezuela,28.3,27.6,29,0.71,9.4,71,South America,6.7,17900,46.9,1.26,88.2,28515829
Viet Nam,NA,NA,NA,0.617,8,115,Asia,NA,NA,NA,NA,NA,NA
Vietnam,30.5,29.4,31.7,NA,NA,NA,NA,14.5,7030,35.3,1,35.9,96462106
Virgin Islands,41,39.9,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
